Title.1,Artist(s).1,URL.1
Ultra Solo,Polimá Westcoast Featuring Pailita,https://www.youtube.com/watch?v=Mub403hj9nE
Counting Stars,Onerepublic,https://www.youtube.com/watch?v=hT_nvWreIhg
I'M Good (Blue),David Guetta And Bebe Rexha,https://www.youtube.com/watch?v=90RLzVUuXe4
Tacones Rojos,Sebastián Yatra,https://www.youtube.com/watch?v=Qz9gmiLBVFA
Sunflower,Post Malone And Swae Lee,https://www.youtube.com/watch?v=ApXoWvfEYVU
Calm Down,Rema And Selena Gomez,https://www.youtube.com/watch?v=WcIcVapfqXw
Bones,Imagine Dragons,https://www.youtube.com/watch?v=TO-_3tck2tg
Party,Bad Bunny And Rauw Alejandro,https://www.youtube.com/watch?v=G9XrXnfJPsk
Late Night Talking,Harry Styles,https://www.youtube.com/watch?v=4VaqA-5aQTM
Something Just Like This,The Chainsmokers And Coldplay,https://www.youtube.com/watch?v=FM7MFYoylVs
Montero (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=6swmTBVI83k
Tarot,Bad Bunny And Jhay Cortez,https://www.youtube.com/watch?v=gwJ7YKhmWKg
Unstoppable,Sia,https://www.youtube.com/watch?v=YaEG2aWJnZ8
Traitor,Olivia Rodrigo,https://www.youtube.com/watch?v=CRrf3h9vhp8
Left And Right,Charlie Puth Featuring Jungkook,https://www.youtube.com/watch?v=a7GITgqwDVg
Peru,Fireboy Dml And Ed Sheeran,https://www.youtube.com/watch?v=pekzpzNCNDQ
Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Under The Influence,Chris Brown,https://www.youtube.com/watch?v=pfxyk1glEq4
Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs
Snap,Rosa Linn,https://www.youtube.com/watch?v=DIKIgjLGf98
Unholy,Sam Smith And Kim Petras,https://www.youtube.com/watch?v=Uq9gPaIzbe8
Permission To Dance,Bts,https://www.youtube.com/watch?v=CuklIb9d3fI
Light Switch,Charlie Puth,https://www.youtube.com/watch?v=WFsAon_TWPQ
Neverita,Bad Bunny,https://www.youtube.com/watch?v=ARWg160eaX4
Love Dive,Ive,https://www.youtube.com/watch?v=Y8JFxS1HlDo
Ferrari,James Hype And Miggy Dela Rosa,https://www.youtube.com/watch?v=1j2IfI9FW90
Money,Lisa,https://www.youtube.com/watch?v=dNCWe_6HAM8
All Too Well (Taylor'S Version),Taylor Swift,https://www.youtube.com/watch?v=9OQBDdNHmXo
Mon Amour,Zzolio,https://www.youtube.com/watch?v=7nk_zukRqdY
Todo De Ti,Rauw Alejandro,https://www.youtube.com/watch?v=CFPLIaMpGrY
Oh My God,Adele,https://www.youtube.com/watch?v=niG3YMU6jFk
Moth To A Flame,Swedish House Mafia And The Weeknd,https://www.youtube.com/watch?v=u9n7Cw-4_HQ
Smells Like Teen Spirit,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg
All I Want For Christmas Is You,Mariah Carey,https://www.youtube.com/watch?v=yXQViqx6GMY
Entre Nosotros,"Tiago Pzk, Lit Killah, Nicki Nicole And María Becerra",https://www.youtube.com/watch?v=sidPTvbTv9o
Zankyosanka,Aimer,https://www.youtube.com/watch?v=tLQLa6lM3Us
Until I Found You,Stephen Sanchez,https://www.youtube.com/watch?v=GxldQ9eX2wo
Take On Me,A-Ha,https://www.youtube.com/watch?v=djV11Xbc914
Despacito,Luis Fonsi And Daddy Yankee Featuring Justin Bieber,https://www.youtube.com/watch?v=dr_GAJZviR0
The Real Slim Shady,Eminem,https://www.youtube.com/watch?v=eJO5HU_7_1w
Mixed Nuts,Official Hige Dandism,https://www.youtube.com/watch?v=CbH2F0kXgTY
Wake Me Up,Avicii,https://www.youtube.com/watch?v=IcrbM1l_BoI
Bad Guy,Billie Eilish,https://www.youtube.com/watch?v=DyDfgMOUjCI
Take Me To Church,Hozier,https://www.youtube.com/watch?v=PVjiKRfKpPI
Riptide,Vance Joy,https://www.youtube.com/watch?v=uJ_1HMAGb4k
Need To Know,Doja Cat,https://www.youtube.com/watch?v=dI3xkL7qUAc
