Title,Artist,URL
Circles,Post Malone,https://www.youtube.com/watch?v=wXhTHyIgQ_U
Lovely,Billie Eilish And Khalid,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Yellow,Coldplay,https://www.youtube.com/watch?v=yKNxeF4KMsY
Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Bones,Imagine Dragons,https://www.youtube.com/watch?v=TO-_3tck2tg
Super Gremlin,Kodak Black,https://www.youtube.com/watch?v=kiB9qk4gnt4
Lo Siento Bb:/,"Tainy, Bad Bunny And Julieta Venegas",https://www.youtube.com/watch?v=NO7EtdR3Dyw
Gangsta'S Paradise,Coolio Featuring L.V.,https://www.youtube.com/watch?v=fPO76Jlnz6c
Bad Habit,Steve Lacy,https://www.youtube.com/watch?v=VF-FGf_ZZiI
Jimmy Cooks,Drake Featuring 21 Savage,https://www.youtube.com/watch?v=V7UgPHjN9qE
Te Felicito,Shakira And Rauw Alejandro,https://www.youtube.com/watch?v=4I25nV9hXGA
Love Tonight,Shouse,https://www.youtube.com/watch?v=-d72XNa4yIM
Infinity,Jaymes Young,https://www.youtube.com/watch?v=PWqEPKduGm8
Montero (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=6swmTBVI83k
Smells Like Teen Spirit,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg
I Like You (A Happier Song),Post Malone Featuring Doja Cat,https://www.youtube.com/watch?v=7aekxC_monc
All I Want For Christmas Is You,Mariah Carey,https://www.youtube.com/watch?v=aAkMkVFwAoo
Counting Stars,Onerepublic,https://www.youtube.com/watch?v=hT_nvWreIhg
La Bachata,Manuel Turizo,https://www.youtube.com/watch?v=A7m8lQOMz1A
One Right Now,Post Malone And The Weeknd,https://www.youtube.com/watch?v=Tc0tLGWIqxA
Something Just Like This,The Chainsmokers And Coldplay,https://www.youtube.com/watch?v=FM7MFYoylVs
I'M Good (Blue),David Guetta And Bebe Rexha,https://www.youtube.com/watch?v=90RLzVUuXe4
Pink Venom,Blackpink,https://www.youtube.com/watch?v=RFMi3v0TXP8
Under The Influence,Chris Brown,https://www.youtube.com/watch?v=pfxyk1glEq4
Neverita,Bad Bunny,https://www.youtube.com/watch?v=ARWg160eaX4
No Role Modelz,J. Cole,https://www.youtube.com/watch?v=ue5oHmUGiMM
Unholy,Sam Smith And Kim Petras,https://www.youtube.com/watch?v=Uq9gPaIzbe8
Break My Soul,Beyoncé,https://www.youtube.com/watch?v=yjki-9Pthh0
Starboy,The Weeknd Featuring Daft Punk,https://www.youtube.com/watch?v=34Na4j8AVgA
Dreams,Fleetwood Mac,https://www.youtube.com/watch?v=Y3ywicffOj4
Peru,Fireboy Dml And Ed Sheeran,https://www.youtube.com/watch?v=pekzpzNCNDQ
Die For You,The Weeknd,https://www.youtube.com/watch?v=uPD0QOGTmMI
Despechá,Rosalía,https://www.youtube.com/watch?v=5g2hT4GmAGU
Bad Guy,Billie Eilish,https://www.youtube.com/watch?v=DyDfgMOUjCI
Left And Right,Charlie Puth Featuring Jungkook,https://www.youtube.com/watch?v=a7GITgqwDVg
